Unique user count;Component set;Product;Version
16;Component1+Component3+Component5+Component9+Component11+Component12+Component14+Component15+Component18+Component21+Component23+Component24+Component25+Component26+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
16;Component1+Component9+Component14+Component21+Component28+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
16;Component1+Component5+Component9+Component11+Component14+Component15+Component21+Component23+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
16;Component1+Component9+Component14+Component19+Component21+Component23+Component24+Component28+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
16;Component1+Component9+Component11+Component12+Component14+Component15+Component21+Component23+Component24+Component28+Component29+Component30+Component31;-1753079652;11.4.0.233
16;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component21+Component23+Component28+Component29+Component30+Component31;-1753079652;11.3.0.773
16;Component1+Component5+Component11+Component15+Component19+Component21+Component28+Component29+Component30+Component31;2049294527;21.2.16.590
16;Component1+Component3+Component5+Component9+Component11+Component12+Component14+Component15+Component19+Component21+Component22+Component23+Component24+Component25+Component26+Component28+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
16;Component1+Component9+Component11+Component14+Component19+Component21+Component29+Component30+Component31;-1753079652;21.2.16.590
16;Component1+Component9+Component11+Component14+Component21+Component28+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
15;Component1+Component21+Component28+Component29+Component30+Component31;2049294527;11.4.0.233
15;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component18+Component19+Component21+Component22+Component23+Component24+Component25+Component26+Component28+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
15;Component1+Component9+Component11+Component14+Component16+Component21+Component28+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
15;Component1+Component5+Component11+Component15+Component16+Component19+Component21+Component25+Component29+Component30+Component31;2049294527;11.3.0.773
15;Component1+Component9+Component14+Component21+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
15;Component1+Component9+Component11+Component14+Component18+Component21+Component23+Component25+Component26+Component29+Component30+Component31;-1753079652;11.4.0.233
14;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component21+Component23+Component29+Component30+Component31;-1753079652;11.4.0.233
14;Component1+Component9+Component11+Component14+Component15+Component19+Component21+Component23+Component24+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
14;Component1+Component3+Component5+Component9+Component11+Component12+Component14+Component15+Component18+Component21+Component22+Component23+Component24+Component25+Component26+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
